folder_name,num_superpixels,index_start,index_end
T_00_01_A,100,0,100
T_00_01_B,100,100,200
T_00_01_C,100,200,300
T_00_01_D,100,300,400
T_00_02_A,100,400,500
T_00_02_B,100,500,600
T_00_02_C,100,600,700
T_00_02_D,100,700,800
T_02_01_A,100,800,900
T_02_01_B,100,900,1000
T_02_01_C,100,1000,1100
T_02_01_D,100,1100,1200
T_02_02_A,100,1200,1300
T_02_02_B,100,1300,1400
T_02_02_C,100,1400,1500
T_02_02_D,100,1500,1600
T_04_01_A,100,1600,1700
T_04_01_B,100,1700,1800
T_04_01_C,100,1800,1900
T_04_01_D,100,1900,2000
T_04_02_A,100,2000,2100
T_04_02_B,100,2100,2200
T_04_02_C,100,2200,2300
T_04_02_D,100,2300,2400
T_06_01_A,100,2400,2500
T_06_01_B,100,2500,2600
T_06_01_C,100,2600,2700
T_06_01_D,100,2700,2800
T_06_02_A,100,2800,2900
T_06_02_B,100,2900,3000
T_06_02_C,100,3000,3100
T_06_02_D,100,3100,3200
T_08_01_A,100,3200,3300
T_08_01_B,100,3300,3400
T_08_01_C,100,3400,3500
T_08_01_D,100,3500,3600
T_08_02_A,100,3600,3700
T_08_02_B,100,3700,3800
T_08_02_C,100,3800,3900
T_08_02_D,100,3900,4000
T_10_01_A,100,4000,4100
T_10_01_B,100,4100,4200
T_10_01_C,100,4200,4300
T_10_01_D,100,4300,4400
T_10_02_A,100,4400,4500
T_10_02_B,100,4500,4600
T_10_02_C,100,4600,4700
T_10_02_D,100,4700,4800
T_12_01_A,100,4800,4900
T_12_01_B,100,4900,5000
T_12_01_C,100,5000,5100
T_12_01_D,100,5100,5200
T_12_02_A,100,5200,5300
T_12_02_B,100,5300,5400
T_12_02_C,100,5400,5500
T_12_02_D,100,5500,5600
T_14_01_A,100,5600,5700
T_14_01_B,100,5700,5800
T_14_01_C,100,5800,5900
T_14_01_D,100,5900,6000
T_14_02_A,100,6000,6100
T_14_02_B,100,6100,6200
T_14_02_C,100,6200,6300
T_14_02_D,100,6300,6400
T_16_01_A,100,6400,6500
T_16_01_B,100,6500,6600
T_16_01_C,100,6600,6700
T_16_01_D,100,6700,6800
T_16_02_A,100,6800,6900
T_16_02_B,100,6900,7000
T_16_02_C,100,7000,7100
T_16_02_D,100,7100,7200
T_18_01_A,100,7200,7300
T_18_01_B,100,7300,7400
T_18_01_C,100,7400,7500
T_18_01_D,100,7500,7600
T_18_02_A,100,7600,7700
T_18_02_B,100,7700,7800
T_18_02_C,100,7800,7900
T_18_02_D,100,7900,8000
T_20_01_A,100,8000,8100
T_20_01_B,100,8100,8200
T_20_01_C,100,8200,8300
T_20_01_D,100,8300,8400
T_20_02_A,100,8400,8500
T_20_02_B,100,8500,8600
T_20_02_C,100,8600,8700
T_20_02_D,100,8700,8800
